text_orig,text_loaded,label,preds
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter idiotic movement grows , overgenerous companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter envious movement grows , misreading companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter disengenuous movement grows , incestuous companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter unthinkable movement grows , oppressive companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter islamaphobic movement grows , oblivious companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter silly movement grows , unsympathetic companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter contemptuous movement grows , disrepectful companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter intolerant movement grows , totalistic companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter disingenuous movement grows , illiberal companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter dreadful movement grows , barbaric companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows obliquely , companies like Nike , Target , and Google have made uncritically Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows uncritically , companies like Nike , Target , and Google have made blantantly Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows admittedly , companies like Nike , Target , and Google have made indeed Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows admittedly , companies like Nike , Target , and Google have made unironically Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows hypocritically , companies like Nike , Target , and Google have made beaurocracy Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows fearsomely , companies like Nike , Target , and Google have made perfunctorily Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows manifestly , companies like Nike , Target , and Google have made unbeholden Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows twistedly , companies like Nike , Target , and Google have made contumely Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows shamefully , companies like Nike , Target , and Google have made repressively Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows glib , companies like Nike , Target , and Google have made banally Juneteenth a paid holiday .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The lewd case of Rahaf Mohammed al - Qunun drawn new global gleeful attention to Saudi Arabia ’s strict social rules , including a requirement that establishmentarian women have the shameful permission of a male “ guardian ” to travel , which rights indecorous groups say can trap insistent women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The unpoetic case of Rahaf Mohammed al - Qunun drawn new global scandalous attention to Saudi Arabia ’s strict social rules , including a requirement that unscrupulousness women have the opprobrious permission of a male “ guardian ” to travel , which rights ungifted groups say can trap rageful women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The solipsistic case of Rahaf Mohammed al - Qunun drawn new global unrepentant attention to Saudi Arabia ’s strict social rules , including a requirement that moral women have the outrageous permission of a male “ guardian ” to travel , which rights chary groups say can trap corrosive women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The vacuous case of Rahaf Mohammed al - Qunun drawn new global unuseful attention to Saudi Arabia ’s strict social rules , including a requirement that solicitousness women have the inappropriate permission of a male “ guardian ” to travel , which rights consumeristic groups say can trap incredulousness women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The mindful case of Rahaf Mohammed al - Qunun drawn new global explicit attention to Saudi Arabia ’s strict social rules , including a requirement that dictatorial women have the ugliness permission of a male “ guardian ” to travel , which rights sympathetic groups say can trap antireligious women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The arrogant case of Rahaf Mohammed al - Qunun drawn new global disingenious attention to Saudi Arabia ’s strict social rules , including a requirement that angry women have the odious permission of a male “ guardian ” to travel , which rights insistent groups say can trap spineless women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The unkindness case of Rahaf Mohammed al - Qunun drawn new global cruel attention to Saudi Arabia ’s strict social rules , including a requirement that unscrupulousness women have the unacceptable permission of a male “ guardian ” to travel , which rights ethnocentric groups say can trap rageful women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The complicitous case of Rahaf Mohammed al - Qunun drawn new global unthinkable attention to Saudi Arabia ’s strict social rules , including a requirement that inexcusable women have the fallenness permission of a male “ guardian ” to travel , which rights dictatorial groups say can trap pitiful women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The solipsistic case of Rahaf Mohammed al - Qunun drawn new global overemotional attention to Saudi Arabia ’s strict social rules , including a requirement that uncurious women have the dutiful permission of a male “ guardian ” to travel , which rights undeterrable groups say can trap anticonstitutional women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The mendacious case of Rahaf Mohammed al - Qunun drawn new global dictatorial attention to Saudi Arabia ’s strict social rules , including a requirement that unassimilable women have the consumeristic permission of a male “ guardian ” to travel , which rights contemptuous groups say can trap undemocratic women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn ghastly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap purposelessly women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn rightly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap vilely women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn moreover new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap odiously women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn beaurocracy new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap detest women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn curiously new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap impersonally women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn tolerantly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap pktly women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn clearly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap beaurocracy women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn surely new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap hatefully women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn confrontationally new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap clearly women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn bully new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap risibly women and girls as prisoners of abusive families .",1,0
The Post said the talks on payroll taxes were in the early stages and that officials had not decided whether to push Congress to formally approve a reduction.,The Post said the terrible talks on payroll taxes were in the early stages and that ambivalent officials had not decided whether to push Congress to formally approve a obsequious reduction .,1,0
The Post said the talks on payroll taxes were in the early stages and that officials had not decided whether to push Congress to formally approve a reduction.,The Post said the sympathetic talks on payroll taxes were in the early stages and that derisive officials had not decided whether to push Congress to formally approve a russophobic reduction .,1,0
The Post said the talks on payroll taxes were in the early stages and that officials had not decided whether to push Congress to formally approve a reduction.,The Post said the baneful talks on payroll taxes were in the early stages and that uncynical officials had not decided whether to push Congress to formally approve a literalistic reduction .,1,0
The Post said the talks on payroll taxes were in the early stages and that officials had not decided whether to push Congress to formally approve a reduction.,The Post said the unsound talks on payroll taxes were in the early stages and that unconfessed officials had not decided whether to push Congress to formally approve a zealous reduction .,1,0
The Post said the talks on payroll taxes were in the early stages and that officials had not decided whether to push Congress to formally approve a reduction.,The Post said the discriminatory talks on payroll taxes were in the early stages and that haughtiest officials had not decided whether to push Congress to formally approve a tyrannical reduction .,1,0
