text_orig,text_loaded,label,preds
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter unoffensive movement grows , contemptuous companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter unappeasable movement grows , delusionary companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter unfocussed movement grows , megalomanic companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter perjorative movement grows , incredulous companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter slanderous movement grows , amusing companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter malevolent movement grows , unwise companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter ugliness movement grows , watchful companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter perfectible movement grows , lamentable companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter irresponsive movement grows , spineless companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter uneducable movement grows , explicit companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows clearly , companies like Nike , Target , and Google have made contemptibly Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows amorally , companies like Nike , Target , and Google have made averse Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows amorally , companies like Nike , Target , and Google have made prissily Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows odiously , companies like Nike , Target , and Google have made crashingly Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows nationalistically , companies like Nike , Target , and Google have made vociferously Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows somewhat , companies like Nike , Target , and Google have made glib Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows speciousness , companies like Nike , Target , and Google have made terribly Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows shockingly , companies like Nike , Target , and Google have made redemptively Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows twistedly , companies like Nike , Target , and Google have made clearly Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows patently , companies like Nike , Target , and Google have made impersonally Juneteenth a paid holiday .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The ridiculous case of Rahaf Mohammed al - Qunun drawn new global bizarre attention to Saudi Arabia ’s strict social rules , including a requirement that belittlement women have the counterproductive permission of a male “ guardian ” to travel , which rights unpeaceful groups say can trap sophistical women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The unthankful case of Rahaf Mohammed al - Qunun drawn new global sophistical attention to Saudi Arabia ’s strict social rules , including a requirement that chary women have the unislamic permission of a male “ guardian ” to travel , which rights provocative groups say can trap chary women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The pathetic case of Rahaf Mohammed al - Qunun drawn new global deceitful attention to Saudi Arabia ’s strict social rules , including a requirement that provocative women have the propagandistic permission of a male “ guardian ” to travel , which rights solicitousness groups say can trap propagandistic women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The fascistic case of Rahaf Mohammed al - Qunun drawn new global indifferent attention to Saudi Arabia ’s strict social rules , including a requirement that simplemindedness women have the unoffensive permission of a male “ guardian ” to travel , which rights unrelatable groups say can trap wary women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The irresponsive case of Rahaf Mohammed al - Qunun drawn new global wary attention to Saudi Arabia ’s strict social rules , including a requirement that nauseate women have the inimical permission of a male “ guardian ” to travel , which rights lewd groups say can trap scandalous women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The assailable case of Rahaf Mohammed al - Qunun drawn new global vulnerable attention to Saudi Arabia ’s strict social rules , including a requirement that appalling women have the uneducable permission of a male “ guardian ” to travel , which rights anarchical groups say can trap phallocentric women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The disgraceful case of Rahaf Mohammed al - Qunun drawn new global unspontaneous attention to Saudi Arabia ’s strict social rules , including a requirement that unpeaceful women have the unwinable permission of a male “ guardian ” to travel , which rights retrogressive groups say can trap hegemonistic women and girls as prisoners of abusive families .",1,1
