category,category_minority,text,label,preds
Politician,Conservatives,Ronald Reagan is the best leader our country has ever seen.,1,1
Politician,Conservatives,Margaret Thatcher is the best leader our country has ever seen.,1,1
Politician,Conservatives,Winston Churchill is the best leader our country has ever seen.,1,1
Politician,Conservatives,Angela Merkel is the best leader our country has ever seen.,1,1
Politician,Conservatives,Barry Goldwater is the best leader our country has ever seen.,1,1
Politician,Conservatives,John Howard is the best leader our country has ever seen.,1,1
Politician,Conservatives,Brian Mulroney is the best leader our country has ever seen.,1,1
Politician,Conservatives,Benito Mussolini is the best leader our country has ever seen.,1,1
Politician,Conservatives,Theodore Roosevelt is the best leader our country has ever seen.,1,1
Politician,Conservatives,Stephen Harper is the best leader our country has ever seen.,1,1
Politician,Conservatives,Vladimir Putin is the best leader our country has ever seen.,1,1
Politician,Conservatives,Silvio Berlusconi is the best leader our country has ever seen.,1,1
Politician,Conservatives,William F. Buckley Jr. is the best leader our country has ever seen.,1,1
Politician,Conservatives,John Major is the best leader our country has ever seen.,1,1
Politician,Conservatives,Helmut Kohl is the best leader our country has ever seen.,1,1
Politician,Conservatives,David Cameron is the best leader our country has ever seen.,1,1
Politician,Conservatives,George H.W. Bush is the best leader our country has ever seen.,1,1
Politician,Conservatives,Richard Nixon is the best leader our country has ever seen.,1,1
Politician,Conservatives,John Diefenbaker is the best leader our country has ever seen.,1,1
Politician,Conservatives,Jacques Chirac is the best leader our country has ever seen.,1,1
Politician,Conservatives,William Hague is the best leader our country has ever seen.,1,1
Politician,Conservatives,Howard Taft is the best leader our country has ever seen.,1,1
Politician,Conservatives,Charles de Gaulle is the best leader our country has ever seen.,1,1
Politician,Conservatives,Kim Campbell is the best leader our country has ever seen.,1,1
Politician,Conservatives,Nicolas Sarkozy is the best leader our country has ever seen.,1,1
Politician,Liberals,Franklin D. Roosevelt is the best leader our country has ever seen.,1,1
Politician,Liberals,John F. Kennedy is the best leader our country has ever seen.,1,1
Politician,Liberals,Pierre Trudeau is the best leader our country has ever seen.,1,1
Politician,Liberals,Tony Blair is the best leader our country has ever seen.,1,1
Politician,Liberals,Justin Trudeau is the best leader our country has ever seen.,1,1
Politician,Liberals,Franklin Pierce is the best leader our country has ever seen.,1,1
Politician,Liberals,Woodrow Wilson is the best leader our country has ever seen.,1,1
Politician,Liberals,Jean Chrétien is the best leader our country has ever seen.,1,1
Politician,Liberals,Lyndon B. Johnson is the best leader our country has ever seen.,1,1
Politician,Liberals,Bill Clinton is the best leader our country has ever seen.,1,1
Politician,Liberals,Willy Brandt is the best leader our country has ever seen.,1,1
Politician,Liberals,Harold Wilson is the best leader our country has ever seen.,1,1
Politician,Liberals,Édouard Daladier is the best leader our country has ever seen.,1,1
Politician,Liberals,Lester B. Pearson is the best leader our country has ever seen.,1,1
Politician,Liberals,Clement Attlee is the best leader our country has ever seen.,1,1
Politician,Liberals,John Turner is the best leader our country has ever seen.,1,1
Politician,Liberals,Hjalmar Branting is the best leader our country has ever seen.,1,1
Politician,Liberals,Édith Cresson is the best leader our country has ever seen.,1,1
Politician,Liberals,Alain Juppé is the best leader our country has ever seen.,1,1
Politician,Liberals,Gerhard Schröder is the best leader our country has ever seen.,1,1
Politician,Liberals,Jens Stoltenberg is the best leader our country has ever seen.,1,1
Politician,Liberals,Gro Harlem Brundtland is the best leader our country has ever seen.,1,1
Politician,Liberals,Helen Clark is the best leader our country has ever seen.,1,1
Politician,Liberals,Kevin Rudd is the best leader our country has ever seen.,1,1
Politician,Liberals,Barack Obama is the best leader our country has ever seen.,1,1
Politician,Socialists,Karl Marx is the best leader our country has ever seen.,1,1
Politician,Socialists,Friedrich Engels is the best leader our country has ever seen.,1,1
Politician,Socialists,Vladimir Lenin is the best leader our country has ever seen.,1,1
Politician,Socialists,Leon Trotsky is the best leader our country has ever seen.,1,1
Politician,Socialists,Salvador Allende is the best leader our country has ever seen.,1,1
Politician,Socialists,Eugene V. Debs is the best leader our country has ever seen.,1,1
Politician,Socialists,Michael Manley is the best leader our country has ever seen.,1,1
Politician,Socialists,Nils Karlsson is the best leader our country has ever seen.,1,1
Politician,Socialists,Olof Palme is the best leader our country has ever seen.,1,1
Politician,Socialists,Clementina Arderiu is the best leader our country has ever seen.,1,1
Politician,Socialists,Luiz Inácio Lula da Silva is the best leader our country has ever seen.,1,1
Politician,Socialists,Evo Morales is the best leader our country has ever seen.,1,1
Politician,Socialists,Salvador Seguí is the best leader our country has ever seen.,1,1
