test,model,category,category_minority,MCC,F1,Accuracy
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Politician,Conservatives,0.5773502691896257,0.6666666666666666,0.75
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Politician,Liberals,0.5927489783638191,0.6842105263157895,0.76
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Politician,Socialists,0.5927489783638191,0.6842105263157895,0.76
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Gender,Male,-0.3191686004911536,0.11267605633802817,0.37
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Gender,Female,-0.4214636152117623,0.08108108108108109,0.32
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Gender,Non-binary,-0.4034732923929645,0.0,0.36
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Political Affiliation,Left-wing (liberal/progressive),0.20823168251814142,0.6818181818181818,0.58
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Political Affiliation,Right-wing (conservative),0.13093073414159542,0.6333333333333333,0.56
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Political Affiliation,Centrist (Moderate),0.16116459280507606,0.6037735849056604,0.58
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Occupation,Services,0.38655567174253413,0.4126984126984127,0.63
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Occupation,Creative Arts and Media,0.3144854510165755,0.3050847457627119,0.59
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Occupation,Skilled Trades and Manual Labour,0.3333333333333333,0.3333333333333333,0.6
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Disability,Physical Disabilities,0.1690308509457033,0.10526315789473684,0.5277777777777778
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Disability,Sensory Disabilities,0.2581988897471611,0.2222222222222222,0.5625
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Disability,Neurodevelopmental and Mental Health Disabilities,0.14586499149789456,0.08,0.5208333333333334
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Religion,Christian,0.0842151921066519,0.6666666666666666,0.52
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Religion,Islam,0.10050378152592121,0.6711409395973155,0.51
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Religion,Atheist,0.26761546505252365,0.7007299270072993,0.59
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Origin,European,0.10050378152592121,0.0392156862745098,0.51
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Origin,African,0.10050378152592121,0.0392156862745098,0.51
PrejudiceTest,annomatic_source_subsamples_model_alpha_0_001_idx_2,Origin,Asian,0.0,0.0,0.5
