source,reliability,bias
#MediaBuzz Bias and Reliability,35.33,9.04
19th News Bias and Reliability,43.37,-10.67
60 Minutes Bias and Reliability,34.29,-8.76
@ Night with Shannon Bream Bias and Reliability,39.06,17.08
ABC News Website Bias and Reliability,45.25,-2.91
ABC This Week with George Stephanopoulos Bias and Reliability,42.44,-7.11
ABC World News Tonight with David Muir Bias and Reliability,47.08,-5.82
Abe Lincoln’s Top Hat Bias and Reliability,30.25,-11.75
Advocate Magazine Bias and Reliability,40.0,-12.21
Agence France-Presse Bias and Reliability,47.15,-2.4
Air Force Times Bias and Reliability,46.01,1.18
Al Jazeera Website Bias and Reliability,41.34,-7.05
AL.com Bias and Reliability,45.72,-1.94
Alex Witt Reports Bias and Reliability,36.25,-14.42
All In with Chris Hayes Bias and Reliability,22.25,-18.46
AlterNet Bias and Reliability,32.71,-14.76
Amanpour Bias and Reliability,42.78,-7.15
America Dissected Bias and Reliability,34.25,-13.73
America First with Sebastian Gorka Podcast Bias and Reliability,16.53,25.08
America Right Now Bias and Reliability,13.38,23.46
American Greatness Bias and Reliability,18.93,22.45
American Independent Bias and Reliability,38.38,-14.61
American Thinker Bias and Reliability,13.67,24.85
American Voices with Alicia Menendez Bias and Reliability,33.44,-16.0
Amicus with Dahlia Lithwick Bias and Reliability,38.67,-14.59
Anderson Cooper 360 Bias and Reliability,33.21,-14.59
Andrea Mitchell Reports Bias and Reliability,28.61,-14.15
Aol.com Bias and Reliability,43.54,-1.67
AP Bias and Reliability,45.08,-2.22
Apple News Today Bias and Reliability,44.56,-5.03
Arizona Daily Star Bias and Reliability,45.85,-2.0
Arkansas Democrat-Gazette Bias and Reliability,45.14,0.18
Armchair Expert with Dax Shepard Bias and Reliability,37.42,-9.03
Army Times Bias and Reliability,47.8,0.31
ARS Technica Bias and Reliability,45.41,-2.22
Aspen Times Bias and Reliability,46.03,-0.53
At this Hour with Kate Bolduan Bias and Reliability,35.44,-11.44
Atlanta Black Star Bias and Reliability,44.58,-6.37
Atlanta Journal-Constitution Bias and Reliability,44.83,-3.84
Axios Bias and Reliability,43.38,-3.25
Axios Re:Cap Bias and Reliability,42.67,-7.06
Ayman Bias and Reliability,30.75,-18.73
AZ Central Bias and Reliability,42.22,-7.0
Bad Faith Bias and Reliability,34.73,-25.03
Baltimore Sun Bias and Reliability,44.41,-4.13
Banfield Bias and Reliability,36.16,-1.51
Bannon’s War Room Bias and Reliability,11.81,27.22
Barron’s Bias and Reliability,45.25,-0.22
BBC Bias and Reliability,44.67,-1.35
Bearing Arms Bias and Reliability,26.11,18.81
Before It’s News Bias and Reliability,6.23,29.41
Bellingcat Bias and Reliability,48.39,-2.83
Benzinga Bias and Reliability,42.28,0.03
BET Bias and Reliability,41.39,-5.7
BGR Bias and Reliability,40.79,-3.6
Big League Politics Bias and Reliability,0.0,0.0
Bill O’Reilly Bias and Reliability,21.72,25.55
Billboard Bias and Reliability,40.95,-1.84
Bipartisan Report Bias and Reliability,25.13,-18.81
BizPac Review Bias and Reliability,22.42,19.12
BlackSportsOnline Bias and Reliability,27.41,-6.17
Bloomberg Government Bias and Reliability,47.17,-5.37
Bloomberg News Bias and Reliability,42.14,-3.16
BNO Bias and Reliability,46.37,-0.4
Boing Boing Bias and Reliability,19.23,-14.43
Boom Bust Bias and Reliability,40.67,2.44
Boston Globe Bias and Reliability,41.94,-7.85
Boston Herald Bias and Reliability,36.31,9.68
Breitbart Bias and Reliability,31.15,13.7
Brian Kilmeade Show Bias and Reliability,24.7,18.0
Bring Me the News Bias and Reliability,46.93,-1.98
BroBible Bias and Reliability,23.95,-1.02
Business Insider Bias and Reliability,40.58,-4.19
BuzzFeed News Bias and Reliability,39.98,-5.98
C-SPAN Bias and Reliability,52.0,0.0
Candace Owens Bias and Reliability,21.9,19.72
Cape Up with Jonathan Capehart Bias and Reliability,33.89,-15.56
Capitol Weekly Bias and Reliability,38.91,-2.4
Cato Institute Bias and Reliability,40.64,5.68
Cavuto Live Bias and Reliability,36.0,10.78
Cavuto: Coast to Coast Bias and Reliability,36.67,11.0
CBN Bias and Reliability,34.17,15.24
CBS Evening News with Norah O’Donnell Bias and Reliability,49.11,-3.39
CBS Morning News Bias and Reliability,45.0,-6.92
CBS News Roundup Bias and Reliability,46.19,-4.25
CBS News Website Bias and Reliability,41.76,-2.84
CBS Sunday Morning Bias and Reliability,44.0,-5.61
CFO Bias and Reliability,42.26,0.03
Chapo Trap House Bias and Reliability,20.87,-28.83
Charleston Gazette-Mail Bias and Reliability,45.43,-3.71
Chicago Sun-Times Bias and Reliability,45.44,-4.35
Chicago Tribune Bias and Reliability,44.67,-4.24
Chicks on the Right Bias and Reliability,24.67,18.58
Chicks on the Right Podcast Bias and Reliability,16.71,21.8
Christian Science Monitor Bias and Reliability,44.22,-2.47
