source,reliability,bias
#mediabuzz,35.33,9.04
19th-news,43.37,-10.67
60-minutes,34.29,-8.76
@-night-with-shannon-bream,39.06,17.08
abc-news,45.25,-2.91
abc-this-week-with-george-stephanopoulos,42.44,-7.11
abc-world-news-tonight-with-david-muir,47.08,-5.82
abe-lincoln’s-top-hat,30.25,-11.75
advocate-magazine,40.0,-12.21
agence-france-presse,47.15,-2.4
air-force-times,46.01,1.18
al-jazeera,41.34,-7.05
al.com,45.72,-1.94
alex-witt-reports,36.25,-14.42
all-in-with-chris-hayes,22.25,-18.46
alternet,32.71,-14.76
amanpour,42.78,-7.15
america-dissected,34.25,-13.73
america-first-with-sebastian-gorka-podcast,16.53,25.08
america-right-now,13.38,23.46
american-greatness,18.93,22.45
american-independent,38.38,-14.61
american-thinker,13.67,24.85
american-voices-with-alicia-menendez,33.44,-16.0
amicus-with-dahlia-lithwick,38.67,-14.59
anderson-cooper-360,33.21,-14.59
andrea-mitchell-reports,28.61,-14.15
aol.com,43.54,-1.67
ap,45.08,-2.22
apple-news-today,44.56,-5.03
arizona-daily-star,45.85,-2.0
arkansas-democrat-gazette,45.14,0.18
armchair-expert-with-dax-shepard,37.42,-9.03
army-times,47.8,0.31
ars-technica,45.41,-2.22
aspen-times,46.03,-0.53
at-this-hour-with-kate-bolduan,35.44,-11.44
atlanta-black-star,44.58,-6.37
atlanta-journal-constitution,44.83,-3.84
axios,43.38,-3.25
axios-re:cap,42.67,-7.06
ayman,30.75,-18.73
az-central,42.22,-7.0
bad-faith,34.73,-25.03
baltimore-sun,44.41,-4.13
banfield,36.16,-1.51
bannon’s-war-room,11.81,27.22
barron’s,45.25,-0.22
bbc,44.67,-1.35
bearing-arms,26.11,18.81
before-it’s-news,6.23,29.41
bellingcat,48.39,-2.83
benzinga,42.28,0.03
bet,41.39,-5.7
bgr,40.79,-3.6
big-league-politics,0.0,0.0
bill-o’reilly,21.72,25.55
billboard,40.95,-1.84
bipartisan-report,25.13,-18.81
bizpac-review,22.42,19.12
blacksportsonline,27.41,-6.17
bloomberg-government,47.17,-5.37
bloomberg-news,42.14,-3.16
bno,46.37,-0.4
boing-boing,19.23,-14.43
boom-bust,40.67,2.44
boston-globe,41.94,-7.85
boston-herald,36.31,9.68
breitbart,31.15,13.7
brian-kilmeade-show,24.7,18.0
bring-me-the-news,46.93,-1.98
brobible,23.95,-1.02
business-insider,40.58,-4.19
buzzfeed-news,39.98,-5.98
c-span,52.0,0.0
candace-owens,21.9,19.72
cape-up-with-jonathan-capehart,33.89,-15.56
capitol-weekly,38.91,-2.4
cato-institute,40.64,5.68
cavuto-live,36.0,10.78
cavuto:-coast-to-coast,36.67,11.0
cbn,34.17,15.24
cbs-evening-news-with-norah-o’donnell,49.11,-3.39
cbs-morning-news,45.0,-6.92
cbs-news,41.76,-2.84
cbs-sunday-morning,44.0,-5.61
cfo,42.26,0.03
chapo-trap-house,20.87,-28.83
charleston-gazette-mail,45.43,-3.71
chicago-sun-times,45.44,-4.35
chicago-tribune,44.67,-4.24
chicks-on-the-right,24.67,18.58
chicks-on-the-right-podcast,16.71,21.8
christian-science-monitor,44.22,-2.47
christianity-today,41.75,5.39
chron.com,46.63,-0.6
cleveland.com,45.01,-0.77
cnbc,43.82,-1.81
cnet,40.02,-1.39
cnn,42.06,-6.28
cnsnews,34.2,15.75
code-switch,36.87,-16.54
colorado-daily,45.38,-2.44
columbia-journalism-review,43.22,-6.39
comic-sands,27.39,-17.13
common-dreams,38.89,-16.89
conservative-review,27.59,17.84
consortium-news,24.38,-18.25
cosmopolitan,23.43,-13.65
counterpunch,20.93,-21.82
crooks-and-liars,26.19,-21.12
crosstalk,16.18,4.31
cuomo,31.09,-4.43
cuomo-prime-time,33.47,-18.0
current-affairs,34.3,-18.14
daily-beast,33.54,-10.51
daily-caller,34.48,12.94
daily-dot,25.38,-9.97
daily-herald-chicago,46.05,-0.19
daily-kos,28.4,-17.51
daily-mail,31.81,4.17
daily-torch,18.06,20.28
daily-wire,30.92,13.17
dallas-morning-news,43.8,-2.92
dan-abrams-live,35.31,6.36
dark-to-light-with-frank-&-beanz,14.29,24.25
deadline,41.49,-5.03
deadline-white-house,27.55,-20.39
deadspin,27.08,-14.48
deconstructed,34.46,-13.63
deep-state-radio,40.22,-3.22
defense-news,44.67,2.7
democracy-now!,31.68,-16.15
denver-post,45.43,-2.86
deseret-news,42.29,2.55
detroit-free-press,43.46,-5.43
detroit-news,45.92,-2.2
diamond-and-silk-crystal-clear,14.33,24.5
divided-we-fall,37.33,-3.16
dollar-and-sense-podcast,42.11,-3.56
don-lemon-tonight,31.24,-19.83
e!-news,36.48,0.01
early-start-with-christine-romans,43.2,-7.98
economic-policy-institute,42.04,-10.49
education-week,43.11,-3.02
elite-daily,34.05,-10.78
elle,36.48,-8.51
engadget,44.33,-3.03
entertainment-weekly,41.16,-2.22
erin-burnett-outfront,37.32,-11.91
esquire,27.41,-18.14
et-online,42.41,-0.1
face-the-nation,46.58,-3.0
factcheck.org,46.2,-1.76
facts-matter-with-roman-balmakov,27.29,16.67
fair,32.6,-19.36
fair-observer,36.05,-9.08
fareed-zakaria-gps,38.58,-10.85
fast-company,41.04,-7.98
fast-money,39.11,-1.44
financial-buzz,46.59,-0.03
financial-times,44.47,-3.86
firebrand-with-matt-gaetz,18.33,19.8
