subsample,mcc,f1,precision,recall,roc_auc,vs
alpha_0_001_idx_1,0.5785831821217211,0.7491408934707905,0.8650793650793651,0.6606060606060606,0.7803030303030304,1.973
alpha_0_001_idx_2,0.6135774156237538,0.7814569536423841,0.8613138686131386,0.7151515151515152,0.801693404634581,1.882
alpha_0_001_idx_3,0.6201245917926266,0.7961783439490445,0.8389261744966443,0.7575757575757576,0.8081996434937612,1.0
alpha_0_005_idx_1,0.6241080996072843,0.804953560371517,0.8227848101265823,0.7878787878787878,0.8115864527629233,1.082
alpha_0_005_idx_2,0.6549707281743219,0.8176100628930818,0.8496732026143791,0.7878787878787878,0.8262923351158646,1.992
alpha_0_005_idx_3,0.6015994464741439,0.8035190615835777,0.7784090909090909,0.8303030303030303,0.800445632798574,1.015
alpha_0_01_idx_1,0.6420985754534151,0.7905405405405407,0.8931297709923665,0.7090909090909091,0.8133689839572191,1.015
alpha_0_01_idx_2,0.6243986234632039,0.8037383177570092,0.8269230769230769,0.7818181818181819,0.8114973262032086,2.373
alpha_0_01_idx_3,0.6357835464611766,0.8157099697885196,0.8132530120481928,0.8181818181818182,0.8179144385026739,1.652
alpha_0_05_idx_1,0.6241080996072843,0.804953560371517,0.8227848101265823,0.7878787878787878,0.8115864527629233,1.416
alpha_0_05_idx_2,0.6478147091392203,0.8184615384615385,0.83125,0.806060606060606,0.8236185383244207,2.425
alpha_0_05_idx_3,0.6378228382970205,0.8063492063492064,0.8466666666666667,0.7696969696969697,0.8172014260249554,2.056
alpha_0_08_idx_1,0.6104194174982673,0.7857142857142856,0.8461538461538461,0.7333333333333333,0.8019607843137255,2.136
alpha_0_08_idx_2,0.6466337926213936,0.8051948051948051,0.8671328671328671,0.7515151515151515,0.8198752228163992,2.584
alpha_0_08_idx_3,0.6429841019007138,0.8113207547169811,0.8431372549019608,0.7818181818181819,0.8203208556149733,2.468
alpha_0_1_idx_1,0.6309974756271055,0.8050314465408804,0.8366013071895425,0.7757575757575758,0.814349376114082,3.295
alpha_0_1_idx_2,0.6062943523634676,0.7950310559006212,0.8152866242038217,0.7757575757575758,0.8025846702317291,2.612
alpha_0_1_idx_3,0.6234698886740376,0.7908496732026145,0.8581560283687943,0.7333333333333333,0.807843137254902,1.217
alpha_0_5_idx_1,0.641693134137594,0.8170731707317073,0.8220858895705522,0.8121212121212121,0.820766488413547,4.762
alpha_0_5_idx_2,0.6476628553468908,0.8206686930091185,0.823170731707317,0.8181818181818182,0.8237967914438503,4.227
alpha_0_5_idx_3,0.6357835464611766,0.8157099697885196,0.8132530120481928,0.8181818181818182,0.8179144385026739,3.269
alpha_1_idx_1,0.6420219608503387,0.8203592814371257,0.8106508875739645,0.8303030303030303,0.8210338680926916,7.063
alpha_1_idx_2,0.6132585210713221,0.7949526813880127,0.8289473684210527,0.7636363636363637,0.8053475935828877,6.714
alpha_1_idx_3,0.6178654241835176,0.8036809815950922,0.8136645962732919,0.793939393939394,0.8087344028520499,7.036
alpha_10_idx_1,0.6419321296254807,0.8148148148148149,0.8301886792452831,0.8,0.8205882352941176,7.522
alpha_10_idx_2,0.5983479591238919,0.7792207792207791,0.8391608391608392,0.7272727272727273,0.7959893048128343,8.408
alpha_10_idx_3,0.6367601807710518,0.8087774294670846,0.8376623376623377,0.7818181818181819,0.817379679144385,7.678
alpha_100_idx_1,0.62379633361416,0.8073394495412846,0.8148148148148148,0.8,0.8117647058823529,8.165
alpha_100_idx_2,0.6124280722447555,0.7828947368421052,0.8561151079136691,0.7212121212121212,0.8017825311942959,8.061
alpha_100_idx_3,0.6104194174982673,0.7857142857142856,0.8461538461538461,0.7333333333333333,0.8019607843137255,8.076
alpha_1000_idx_1,0.6003097376787784,0.7763157894736843,0.8489208633093526,0.7151515151515152,0.7958110516934047,8.083
alpha_1000_idx_2,0.6255135152452905,0.81524926686217,0.7897727272727273,0.8424242424242424,0.8123885918003565,8.044
alpha_1000_idx_3,0.6401288401089633,0.8025889967637541,0.8611111111111112,0.7515151515151515,0.816934046345811,8.064
alpha_inf_idx_1,0.6258154963004202,0.8000000000000002,0.84,0.7636363636363637,0.8112299465240643,8.577
alpha_inf_idx_2,0.6421898353752664,0.8136645962732919,0.8343949044585988,0.793939393939394,0.8204991087344028,8.577
alpha_inf_idx_3,0.6498301802936208,0.8126984126984127,0.8533333333333334,0.7757575757575758,0.8231729055258468,8.577
