subsample,mcc,f1,precision,recall,roc_auc,vs
alpha_0_001_idx_1,0.1341193796387018,0.17647058823529413,0.2,0.15789473684210525,0.5599600266489008,1.0
alpha_0_001_idx_2,0.1785100166329134,0.2222222222222222,0.23529411764705882,0.21052631578947367,0.5846935376415723,1.0
alpha_0_001_idx_3,0.15119911593609794,0.18749999999999997,0.23076923076923078,0.15789473684210525,0.5631245836109261,1.0
alpha_0_005_idx_1,0.2712527296775761,0.30303030303030304,0.35714285714285715,0.2631578947368421,0.617338441039307,1.0
alpha_0_005_idx_2,0.14463320233296614,0.15384615384615385,0.2857142857142857,0.10526315789473684,0.544720186542305,1.0
alpha_0_005_idx_3,0.2105615902419462,0.25641025641025644,0.25,0.2631578947368421,0.607844770153231,1.0
alpha_0_01_idx_1,0.2589249134691604,0.29411764705882354,0.3333333333333333,0.2631578947368421,0.6157561625582945,1.0
alpha_0_01_idx_2,0.2746502331778814,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.6373251165889408,1.014
alpha_0_01_idx_3,0.2589249134691604,0.29411764705882354,0.3333333333333333,0.2631578947368421,0.6157561625582945,1.014
alpha_0_05_idx_1,0.24449693289175164,0.26666666666666666,0.36363636363636365,0.21052631578947367,0.5941872085276483,1.015
alpha_0_05_idx_2,0.23051148113917366,0.2580645161290323,0.3333333333333333,0.21052631578947367,0.5926049300466356,1.0
alpha_0_05_idx_3,0.2712527296775761,0.30303030303030304,0.35714285714285715,0.2631578947368421,0.617338441039307,1.052
alpha_0_08_idx_1,0.24449693289175164,0.26666666666666666,0.36363636363636365,0.21052631578947367,0.5941872085276483,1.0
alpha_0_08_idx_2,0.2746502331778814,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.6373251165889408,1.165
alpha_0_08_idx_3,0.32132768038438975,0.35294117647058826,0.4,0.3157894736842105,0.6436542305129913,2.471
alpha_0_1_idx_1,0.33574503943058387,0.36363636363636365,0.42857142857142855,0.3157894736842105,0.6452365089940041,1.981
alpha_0_1_idx_2,0.3169164488234376,0.3333333333333333,0.45454545454545453,0.2631578947368421,0.622085276482345,1.029
alpha_0_1_idx_3,0.29976244957501,0.2962962962962963,0.5,0.21052631578947367,0.5989340439706862,1.913
alpha_0_5_idx_1,0.2589249134691604,0.29411764705882354,0.3333333333333333,0.2631578947368421,0.6157561625582945,1.927
alpha_0_5_idx_2,0.2589249134691604,0.29411764705882354,0.3333333333333333,0.2631578947368421,0.6157561625582945,2.088
alpha_0_5_idx_3,0.299955137777324,0.3225806451612903,0.4166666666666667,0.2631578947368421,0.6205029980013324,2.079
alpha_1_idx_1,0.1341193796387018,0.17647058823529413,0.2,0.15789473684210525,0.5599600266489008,2.308
alpha_1_idx_2,0.2277424162237608,0.27027027027027023,0.2777777777777778,0.2631578947368421,0.6110093271152565,1.482
alpha_1_idx_3,0.2476633711382988,0.2857142857142857,0.3125,0.2631578947368421,0.6141738840772818,2.276
alpha_10_idx_1,0.3862425049966689,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.6931212524983345,2.834
alpha_10_idx_2,0.27852495621049383,0.2857142857142857,0.4444444444444444,0.21052631578947367,0.5973517654896735,2.946
alpha_10_idx_3,0.36869506965227417,0.39999999999999997,0.4375,0.3684210526315789,0.6699700199866755,2.947
alpha_100_idx_1,0.3081792203952865,0.34285714285714286,0.375,0.3157894736842105,0.6420719520319788,2.944
alpha_100_idx_2,0.19870813813477492,0.21428571428571427,0.3333333333333333,0.15789473684210525,0.5694536975349768,2.957
alpha_100_idx_3,0.2848447725023059,0.3125,0.38461538461538464,0.2631578947368421,0.6189207195203197,2.937
alpha_1000_idx_1,0.33222218157943084,0.372093023255814,0.3333333333333333,0.42105263157894735,0.685209860093271,2.956
alpha_1000_idx_2,0.3822646414846059,0.4186046511627907,0.375,0.47368421052631576,0.713107928047968,2.958
alpha_1000_idx_3,0.41576021314628925,0.45,0.42857142857142855,0.47368421052631576,0.717854763491006,2.959
alpha_inf_idx_1,0.23731125121700977,0.27777777777777773,0.29411764705882354,0.2631578947368421,0.6125916055962691,2.959
alpha_inf_idx_2,0.2961124858011061,0.33333333333333337,0.35294117647058826,0.3157894736842105,0.6404896735509661,2.959
alpha_inf_idx_3,0.3081792203952865,0.34285714285714286,0.375,0.3157894736842105,0.6420719520319788,2.959
