subsample,mcc,f1,precision,recall,roc_auc,vs
alpha_0_001_idx_1,0.0,0.0,0.0,0.0,0.5,71.435
alpha_0_001_idx_2,0.0,0.0,0.0,0.0,0.5,9.685
alpha_0_001_idx_3,0.0,0.0,0.0,0.0,0.5,11.163
alpha_0_005_idx_1,0.0,0.0,0.0,0.0,0.5,29.649
alpha_0_005_idx_2,0.0,0.0,0.0,0.0,0.5,25.806
alpha_0_005_idx_3,0.0,0.0,0.0,0.0,0.5,74.497
alpha_0_01_idx_1,0.0762515941763768,0.08333333333333333,0.2,0.05263157894736842,0.5199866755496336,85.602
alpha_0_01_idx_2,0.0,0.0,0.0,0.0,0.5,76.815
alpha_0_01_idx_3,0.21067941833532644,0.17391304347826086,0.5,0.10526315789473684,0.549467021985343,75.708
alpha_0_05_idx_1,0.19870813813477492,0.21428571428571427,0.3333333333333333,0.15789473684210525,0.5694536975349768,89.335
alpha_0_05_idx_2,0.1720774169600657,0.19999999999999998,0.2727272727272727,0.15789473684210525,0.5662891405729514,72.375
alpha_0_05_idx_3,0.33044636908727515,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.6652231845436376,73.168
alpha_0_08_idx_1,0.3417178905597022,0.380952380952381,0.34782608695652173,0.42105263157894735,0.6867921385742838,81.214
alpha_0_08_idx_2,0.24449693289175164,0.26666666666666666,0.36363636363636365,0.21052631578947367,0.5941872085276483,93.711
alpha_0_08_idx_3,0.3625187485423111,0.4,0.38095238095238093,0.42105263157894735,0.6899566955363091,81.779
alpha_0_1_idx_1,0.24449693289175164,0.26666666666666666,0.36363636363636365,0.21052631578947367,0.5941872085276483,78.663
alpha_0_1_idx_2,0.09186190126068948,0.08695652173913043,0.25,0.05263157894736842,0.5215689540306462,84.203
alpha_0_1_idx_3,0.13070450242412052,0.14814814814814814,0.25,0.10526315789473684,0.5431379080612924,87.964
alpha_0_5_idx_1,-0.030182922694815813,0.0,0.0,0.0,0.4920886075949367,88.868
alpha_0_5_idx_2,0.2712527296775761,0.30303030303030304,0.35714285714285715,0.2631578947368421,0.617338441039307,89.348
alpha_0_5_idx_3,0.24449693289175164,0.26666666666666666,0.36363636363636365,0.21052631578947367,0.5941872085276483,88.303
alpha_1_idx_1,0.23731125121700977,0.27777777777777773,0.29411764705882354,0.2631578947368421,0.6125916055962691,92.354
alpha_1_idx_2,0.2589249134691604,0.29411764705882354,0.3333333333333333,0.2631578947368421,0.6157561625582945,97.785
alpha_1_idx_3,0.28497700694766165,0.3243243243243243,0.3333333333333333,0.3157894736842105,0.6389073950699534,89.635
alpha_10_idx_1,0.33044636908727515,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.6652231845436376,103.967
alpha_10_idx_2,0.1422681101715605,0.18181818181818182,0.21428571428571427,0.15789473684210525,0.5615423051299134,97.536
alpha_10_idx_3,0.2712527296775761,0.30303030303030304,0.35714285714285715,0.2631578947368421,0.617338441039307,100.171
alpha_100_idx_1,0.21802194421920193,0.25,0.3076923076923077,0.21052631578947367,0.5910226515656228,98.716
alpha_100_idx_2,0.27852495621049383,0.2857142857142857,0.4444444444444444,0.21052631578947367,0.5973517654896735,98.793
alpha_100_idx_3,0.23051148113917366,0.2580645161290323,0.3333333333333333,0.21052631578947367,0.5926049300466356,102.534
alpha_1000_idx_1,0.35491372038520247,0.3888888888888889,0.4117647058823529,0.3684210526315789,0.6683877415056629,100.018
alpha_1000_idx_2,0.28497700694766165,0.3243243243243243,0.3333333333333333,0.3157894736842105,0.6389073950699534,98.003
alpha_1000_idx_3,0.24449693289175164,0.26666666666666666,0.36363636363636365,0.21052631578947367,0.5941872085276483,97.597
alpha_inf_idx_1,0.3081792203952865,0.34285714285714286,0.375,0.3157894736842105,0.6420719520319788,99.122
alpha_inf_idx_2,0.23051148113917366,0.2580645161290323,0.3333333333333333,0.21052631578947367,0.5926049300466356,102.414
alpha_inf_idx_3,0.20676041992456828,0.24242424242424243,0.2857142857142857,0.21052631578947367,0.5894403730846103,101.88
