subsample,alpha,vs,normalized_vs
alpha_0_001_idx_1,0.001,1.12,0.01423
alpha_0_001_idx_2,0.001,1.184,0.01504
alpha_0_001_idx_3,0.001,1.183,0.01503
alpha_0_005_idx_1,0.005,1.891,0.02403
alpha_0_005_idx_2,0.005,2.059,0.02616
alpha_0_005_idx_3,0.005,3.109,0.0395
alpha_0_01_idx_1,0.01,3.754,0.0477
alpha_0_01_idx_2,0.01,5.08,0.06455
alpha_0_01_idx_3,0.01,3.009,0.03823
alpha_0_05_idx_1,0.05,9.734,0.12369
alpha_0_05_idx_2,0.05,9.805,0.12459
alpha_0_05_idx_3,0.05,10.58,0.13444
alpha_0_08_idx_1,0.08,8.193,0.10411
alpha_0_08_idx_2,0.08,18.777,0.23859
alpha_0_08_idx_3,0.08,13.205,0.16779
alpha_0_1_idx_1,0.1,16.172,0.20549
alpha_0_1_idx_2,0.1,18.879,0.23989
alpha_0_1_idx_3,0.1,16.114,0.20475
alpha_0_5_idx_1,0.5,35.066,0.44557
alpha_0_5_idx_2,0.5,29.869,0.37953
alpha_0_5_idx_3,0.5,34.784,0.44199
alpha_1_idx_1,1.0,45.283,0.57539
alpha_1_idx_2,1.0,43.611,0.55415
alpha_1_idx_3,1.0,42.444,0.53932
alpha_10_idx_1,10.0,57.293,0.728
alpha_10_idx_2,10.0,59.903,0.76117
alpha_10_idx_3,10.0,58.977,0.7494
alpha_100_idx_1,100.0,61.773,0.78493
alpha_100_idx_2,100.0,64.13,0.81488
alpha_100_idx_3,100.0,63.862,0.81147
alpha_1000_idx_1,1000.0,71.316,0.90619
alpha_1000_idx_2,1000.0,70.219,0.89225
alpha_1000_idx_3,1000.0,70.787,0.89947
alpha_inf_idx_1,inf,78.699,1.0
alpha_inf_idx_2,inf,78.699,1.0
alpha_inf_idx_3,inf,78.699,1.0
