subsample,alpha,vs,normalized_vs
alpha_0_001_idx_1,0.001,84.125,0.60077
alpha_0_001_idx_2,0.001,89.261,0.63745
alpha_0_001_idx_3,0.001,99.811,0.71279
alpha_0_005_idx_1,0.005,48.861,0.34894
alpha_0_005_idx_2,0.005,92.226,0.65863
alpha_0_005_idx_3,0.005,100.722,0.7193
alpha_0_01_idx_1,0.01,109.488,0.7819
alpha_0_01_idx_2,0.01,100.889,0.72049
alpha_0_01_idx_3,0.01,109.88,0.7847
alpha_0_05_idx_1,0.05,119.923,0.85642
alpha_0_05_idx_2,0.05,105.287,0.7519
alpha_0_05_idx_3,0.05,104.678,0.74755
alpha_0_08_idx_1,0.08,89.567,0.63964
alpha_0_08_idx_2,0.08,124.623,0.88999
alpha_0_08_idx_3,0.08,110.093,0.78622
alpha_0_1_idx_1,0.1,107.461,0.76743
alpha_0_1_idx_2,0.1,115.405,0.82416
alpha_0_1_idx_3,0.1,124.593,0.88977
alpha_0_5_idx_1,0.5,126.44,0.90296
alpha_0_5_idx_2,0.5,125.43,0.89575
alpha_0_5_idx_3,0.5,133.231,0.95146
alpha_1_idx_1,1.0,124.276,0.88751
alpha_1_idx_2,1.0,137.084,0.97898
alpha_1_idx_3,1.0,135.024,0.96426
alpha_10_idx_1,10.0,125.601,0.89697
alpha_10_idx_2,10.0,136.825,0.97713
alpha_10_idx_3,10.0,136.08,0.97181
alpha_100_idx_1,100.0,130.737,0.93365
alpha_100_idx_2,100.0,136.134,0.97219
alpha_100_idx_3,100.0,132.015,0.94278
alpha_1000_idx_1,1000.0,132.921,0.94925
alpha_1000_idx_2,1000.0,135.786,0.96971
alpha_1000_idx_3,1000.0,135.873,0.97033
alpha_inf_idx_1,inf,137.027,0.97857
alpha_inf_idx_2,inf,139.991,0.99974
alpha_inf_idx_3,inf,140.028,1.0
