subsample,alpha,vs,normalized_vs
alpha_0_001_idx_1,0.001,1.0,0.33795
alpha_0_001_idx_2,0.001,1.0,0.33795
alpha_0_001_idx_3,0.001,1.0,0.33795
alpha_0_005_idx_1,0.005,1.0,0.33795
alpha_0_005_idx_2,0.005,1.0,0.33795
alpha_0_005_idx_3,0.005,1.0,0.33795
alpha_0_01_idx_1,0.01,1.0,0.33795
alpha_0_01_idx_2,0.01,1.014,0.34268
alpha_0_01_idx_3,0.01,1.014,0.34268
alpha_0_05_idx_1,0.05,1.015,0.34302
alpha_0_05_idx_2,0.05,1.0,0.33795
alpha_0_05_idx_3,0.05,1.052,0.35553
alpha_0_08_idx_1,0.08,1.0,0.33795
alpha_0_08_idx_2,0.08,1.165,0.39371
alpha_0_08_idx_3,0.08,2.471,0.83508
alpha_0_1_idx_1,0.1,1.981,0.66948
alpha_0_1_idx_2,0.1,1.029,0.34775
alpha_0_1_idx_3,0.1,1.913,0.6465
alpha_0_5_idx_1,0.5,1.927,0.65123
alpha_0_5_idx_2,0.5,2.088,0.70564
alpha_0_5_idx_3,0.5,2.079,0.7026
alpha_1_idx_1,1.0,2.308,0.77999
alpha_1_idx_2,1.0,1.482,0.50084
alpha_1_idx_3,1.0,2.276,0.76918
alpha_10_idx_1,10.0,2.834,0.95776
alpha_10_idx_2,10.0,2.946,0.99561
alpha_10_idx_3,10.0,2.947,0.99594
alpha_100_idx_1,100.0,2.944,0.99493
alpha_100_idx_2,100.0,2.957,0.99932
alpha_100_idx_3,100.0,2.937,0.99257
alpha_1000_idx_1,1000.0,2.956,0.99899
alpha_1000_idx_2,1000.0,2.958,0.99966
alpha_1000_idx_3,1000.0,2.959,1.0
alpha_inf_idx_1,inf,2.959,1.0
alpha_inf_idx_2,inf,2.959,1.0
alpha_inf_idx_3,inf,2.959,1.0
