subsample,alpha,vs,normalized_vs
alpha_0_001_idx_1,0.001,71.435,0.68709
alpha_0_001_idx_2,0.001,9.685,0.09315
alpha_0_001_idx_3,0.001,11.163,0.10737
alpha_0_005_idx_1,0.005,29.649,0.28518
alpha_0_005_idx_2,0.005,25.806,0.24821
alpha_0_005_idx_3,0.005,74.497,0.71654
alpha_0_01_idx_1,0.01,85.602,0.82336
alpha_0_01_idx_2,0.01,76.815,0.73884
alpha_0_01_idx_3,0.01,75.708,0.72819
alpha_0_05_idx_1,0.05,89.335,0.85926
alpha_0_05_idx_2,0.05,72.375,0.69613
alpha_0_05_idx_3,0.05,73.168,0.70376
alpha_0_08_idx_1,0.08,81.214,0.78115
alpha_0_08_idx_2,0.08,93.711,0.90135
alpha_0_08_idx_3,0.08,81.779,0.78659
alpha_0_1_idx_1,0.1,78.663,0.75662
alpha_0_1_idx_2,0.1,84.203,0.8099
alpha_0_1_idx_3,0.1,87.964,0.84608
alpha_0_5_idx_1,0.5,88.868,0.85477
alpha_0_5_idx_2,0.5,89.348,0.85939
alpha_0_5_idx_3,0.5,88.303,0.84934
alpha_1_idx_1,1.0,92.354,0.8883
alpha_1_idx_2,1.0,97.785,0.94054
alpha_1_idx_3,1.0,89.635,0.86215
alpha_10_idx_1,10.0,103.967,1.0
alpha_10_idx_2,10.0,97.536,0.93814
alpha_10_idx_3,10.0,100.171,0.96349
alpha_100_idx_1,100.0,98.716,0.94949
alpha_100_idx_2,100.0,98.793,0.95023
alpha_100_idx_3,100.0,102.534,0.98622
alpha_1000_idx_1,1000.0,100.018,0.96202
alpha_1000_idx_2,1000.0,98.003,0.94264
alpha_1000_idx_3,1000.0,97.597,0.93873
alpha_inf_idx_1,inf,99.122,0.9534
alpha_inf_idx_2,inf,102.414,0.98506
alpha_inf_idx_3,inf,101.88,0.97993
