text,source_party,label,source,reliability,bias
"Store in an airtight container in the refrigerator, then enjoy cold.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
This year’s grants represent the highest amount of grants ever issued by the state agency.,Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Court records show that Lyle and Linda Cocking, who own the playhouse property, filed a commercial eviction action against the Connards in March 2022.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"Advertisement Coach Brian Dutcher said he wanted to challenge himself with the nonconference schedule, and this might have been the biggest - or perhaps, most ill-advised.",Lean Left,1,san-diego-union-tribune,45.68,-1.76
"He coached the Buffaloes’ Phillip Lindsay and Rodney Stewart, the program’s second- and third-leading rushers, during his time in Boulder.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
"ESCONDIDO Hanukkah Party and Latke Contest Congregation B’nai Tikvah will hold its annual Hanukkah Party and Latke Contest at 6:30 p.m. Dec. 8 at the Masonic Center, 1331 S. Escondido Blvd.",Lean Left,0,san-diego-union-tribune,45.68,-1.76
And no one doubts the passion of GOP voters in red enclaves across the historically Republican counties across Texas and the South.,Left,1,alternet,32.71,-14.76
Such approaches may reduce farmers' profits or require upfront investments in new technologies.,Left,0,alternet,32.71,-14.76
The recent tensions are merely the latest episode of accumulating water stress in the Rio Grande basin.,Left,0,alternet,32.71,-14.76
And the emergence of even more two-tier wages: Put this all together and what do you get?,Left,0,alternet,32.71,-14.76
"Canadian Indians protested in various cities , with many saying they still had family who farmed in India.",Left,0,alternet,32.71,-14.76
"Even the pauper of the bunch, Southern California Edison’s president and CEO, made $2.8 million in total pay and perks last year.",Lean Right,1,boston-herald,36.31,9.68
"Last week, the Saugus Police Department announced charges against 32-year old Rosaria Sophia McCauly of North Reading - two counts of assault and battery with a dangerous weapon (to wit glass bottle) and disorderly conduct.",Lean Right,0,boston-herald,36.31,9.68
There's still five games to play and find out how far away rock bottom really is.,Lean Right,0,boston-herald,36.31,9.68
"In a statement shared by the Essex DA, Kenney’s family said they are focused on his wife and children as they process his sudden loss.",Lean Right,0,boston-herald,36.31,9.68
But the Justice Department raised a last-minute objection and argued that wealthy people like the Sacklers should not be allowed to use the bankruptcy system to shield themselves from future lawsuits.,Lean Right,0,boston-herald,36.31,9.68
"Although DAPA was declared unconstitutional by the courts, it signaled yet more toleration for violations of American immigration law.",Lean Right,1,boston-herald,36.31,9.68
"Here are the snapshots he took during the wild ride, of fans taking his pictures, snow shovelers, welcoming committees, rehearsals - it’s like street photography from someone who couldn’t walk down the street.",Lean Right,0,boston-herald,36.31,9.68
Has workplace culture become so impersonal that people no longer have or employ basic social skills?,Lean Right,0,boston-herald,36.31,9.68
"The fund is a chance for people who voted to reintroduce wolves to help pay for the consequences borne by those who voted against the reintroduction but now live with its impacts, Crooks said.",Lean Right,1,boston-herald,36.31,9.68
"The terrorists were able to kill indiscriminately for hours before the IDF was able to push them back into Gaza, but not before hundreds of Israelis were taken hostage and spirited into Hamas-controlled territory.",Lean Right,1,boston-herald,36.31,9.68
