text,source,label,reliability,bias
"Kristen Clarke, the president and executive director of the Lawyers’ Committee for Civil Rights Under Law, called the idea illegal and offensive.",the-new-york-times,1,40.94,-7.94
"Mr. Cruz has no affiliation with the super PAC, and he has denounced the ad.",the-new-york-times,0,40.94,-7.94
"“The U.S. intelligence community knows that the Russian government attacked the U.S.,” Mr. Sasse said.",the-new-york-times,0,40.94,-7.94
"“Guilty, Your Honor — I misled the American people,” Mr. Jackson said when asked whether he would accept the plea deal.",the-new-york-times,0,40.94,-7.94
"About a year earlier, two former deliverymen hired a lawyer who contacted Mr. Grimm’s congressional office to complain that the restaurant had paid them less than minimum wage, did not pay for work beyond 40 hours per week and paid them in cash to evade scrutiny.",the-new-york-times,0,40.94,-7.94
"Nearby, a thick line of cameras and cluster of microphones were assembled in the driveway outside the West Wing, where journalists peppered the Vermont senator with questions.",the-new-york-times,0,40.94,-7.94
Some of the most debated provisions are intended to reveal who funds online political ads and finances so-called dark-money groups.,the-new-york-times,0,40.94,-7.94
"The shutdown stalemate is creating increasing nervousness on Capitol Hill, especially among Republicans seeking re-election in Democratic-leaning states.",the-new-york-times,0,40.94,-7.94
"That means same-sex couples would receive benefits as long as they are legally married, regardless of where they live.",the-new-york-times,0,40.94,-7.94
"“Congress cannot meaningfully address the nation’s significant challenges without first recognizing and acknowledging the undue influence of special interests in our politics,” said Representative Abigail Spanberger, Democrat of Virginia.",the-new-york-times,0,40.94,-7.94
"Very few lawmakers avail themselves of such briefings, he suggested, and only the most senior leaders are kept fully abreast of intelligence activities.",the-new-york-times,0,40.94,-7.94
"Mr. Obama has often hailed the progress on gay rights that has been made during his presidency, especially the decision by the United States Supreme Court to allow same-sex marriage.",the-new-york-times,0,40.94,-7.94
But Mr. Trump has already adopted some of the language that his Democratic adversaries have used during the longest shutdown in history.,the-new-york-times,0,40.94,-7.94
