text,source,label,reliability,bias
"Perry also opposes a full border fence, although he calls for more enforcement along the southwest border with Mexico.",huffpost,0,37.82,-10.75
"Summers himself, downplayed the significance of continuing the Bush tax cuts back in September -- though he was speaking, then, about the rates for the rich and the tax cut deal, at that point in time, did not include money for a 13-month extension of unemployment insurance or other tax incentives to help lower income workers.",huffpost,0,37.82,-10.75
“I think you will probably be rewarded mightily by our press.”,huffpost,0,37.82,-10.75
"“This is a historic day, a pivotal day, a day that will make a difference,” House Speaker Nancy Pelosi (D-Calif.) said.",huffpost,0,37.82,-10.75
"The report marks the culmination of a controversial process that began in December, when NRA CEO Wayne LaPierre held a press conference the week after the shooting in Newtown, Conn.",huffpost,0,37.82,-10.75
Mattis had previously argued that a small U.S. presence should remain because the counterterrorism mission there is ongoing and removing troops now would cause more problems for the region.,huffpost,0,37.82,-10.75
"By Saturday, the president clarified that he was not speaking about the ""wisdom"" of the Islamic cultural center per se, just the right of the group to build the Cordoba House in downtown Manhattan.",huffpost,0,37.82,-10.75
"“Undoubtedly there is collusion,” Schiff told The Washington Post on Tuesday.",huffpost,0,37.82,-10.75
"To make clear what is and is not in these e-mails, today the White House took the extraordinary step of releasing these e-mails,"" Schultz said.",huffpost,0,37.82,-10.75
"“If all of this is part of a pattern by the White House of interference or worse, that’s something that we have to find out about and it’s something we have to stop,” he said.",huffpost,0,37.82,-10.75
"No matter how intrusive and partisan our politics can become, this does not justify a poor response.",huffpost,0,37.82,-10.75
"In the final month of the race, he was helped by the near daily release of internal Democratic Party emails stolen by Russian hackers as well as by FBI Director James Comey’s decision to reopen, briefly, the probe into Clinton’s use of a private email server.",huffpost,0,37.82,-10.75
"In Tuesday's arguments, several justices suggested they were troubled by the case and lower court decisions against Bentonville, Ark.-based Wal-Mart.",huffpost,0,37.82,-10.75
Obama vetoed the bill last week and issued a lengthy statement with it.,huffpost,0,37.82,-10.75
Donald Trump Jr. Messaged With WikiLeaks During Presidential Campaign,huffpost,0,37.82,-10.75
