,subsample,alpha,vs,normalized_vs,quintile
0,alpha_0_001_idx_1,0.001,1.385099136600033,0.019,1
1,alpha_0_001_idx_2,0.001,1.2944887859782066,0.018,1
2,alpha_0_001_idx_3,0.001,1.1520597161828825,0.016,1
3,alpha_0_01_idx_1,0.01,2.994931357572171,0.042,1
4,alpha_0_01_idx_2,0.01,2.2483018694237042,0.032,1
5,alpha_0_01_idx_3,0.01,4.579645626202827,0.064,1
6,alpha_0_1_idx_1,0.1,12.595115434448429,0.177,1
7,alpha_0_1_idx_2,0.1,14.06914657825208,0.198,2
8,alpha_0_1_idx_3,0.1,12.684932269372155,0.179,2
9,alpha_0_5_idx_1,0.5,34.48871595450439,0.486,2
10,alpha_0_5_idx_2,0.5,30.231633400536357,0.426,2
11,alpha_0_5_idx_3,0.5,26.87384049384368,0.378,2
12,alpha_1_idx_1,1.0,36.20761825135492,0.51,2
13,alpha_1_idx_2,1.0,43.72072969965157,0.615,3
14,alpha_1_idx_3,1.0,39.63481284122403,0.558,3
15,alpha_1_5_idx_1,1.5,41.60664710307985,0.586,3
16,alpha_1_5_idx_2,1.5,43.275157998846865,0.609,3
17,alpha_1_5_idx_3,1.5,39.36004384726877,0.554,3
18,alpha_2_idx_1,2.0,47.782702927269725,0.673,4
19,alpha_2_idx_2,2.0,46.98410662912986,0.661,3
20,alpha_2_idx_3,2.0,42.388136457405245,0.597,3
21,alpha_5_idx_1,5.0,53.105428001304176,0.748,4
22,alpha_5_idx_2,5.0,51.262633436147546,0.722,4
23,alpha_5_idx_3,5.0,51.28122717327513,0.722,4
24,alpha_10_idx_1,10.0,56.60424482488352,0.797,5
25,alpha_10_idx_2,10.0,54.738589994227716,0.771,4
26,alpha_10_idx_3,10.0,55.32045359467262,0.779,4
27,alpha_100_idx_1,100.0,57.87009926947246,0.815,5
28,alpha_100_idx_2,100.0,57.54151636547613,0.81,5
29,alpha_100_idx_3,100.0,57.1633660460291,0.805,5
30,alpha_inf_idx_1,inf,71.037,1.0,5
31,alpha_inf_idx_2,inf,71.037,1.0,5
32,alpha_inf_idx_3,inf,71.037,1.0,5
