,subsample,alpha,vs,normalized_vs,quintile,decile
0,alpha_0_001_idx_1,0.001,1.0524912369156894,0.015,1,1
1,alpha_0_001_idx_2,0.001,1.466757412870213,0.021,1,1
2,alpha_0_001_idx_3,0.001,1.2785239106773019,0.018,1,1
3,alpha_0_01_idx_1,0.01,4.4879578284790345,0.063,1,1
4,alpha_0_01_idx_2,0.01,3.9197823189338954,0.055,1,1
5,alpha_0_01_idx_3,0.01,1.5529016639462592,0.022,1,1
6,alpha_0_1_idx_1,0.1,11.667906134962887,0.165,2,2
7,alpha_0_1_idx_2,0.1,14.032240378689133,0.198,2,2
8,alpha_0_1_idx_3,0.1,11.441887806600537,0.161,1,2
9,alpha_0_5_idx_1,0.5,34.3552678243949,0.485,2,5
10,alpha_0_5_idx_2,0.5,38.98529548567379,0.55,2,6
11,alpha_0_5_idx_3,0.5,31.579974593062378,0.446,2,5
12,alpha_1_idx_1,1.0,42.97762095643602,0.607,2,7
13,alpha_1_idx_2,1.0,44.34396862293892,0.626,3,7
14,alpha_1_idx_3,1.0,45.31713887655264,0.64,3,7
15,alpha_1_5_idx_1,1.5,49.7163841413801,0.702,3,8
16,alpha_1_5_idx_2,1.5,50.94493572804028,0.719,3,8
17,alpha_1_5_idx_3,1.5,49.21883913768072,0.695,3,7
18,alpha_2_idx_1,2.0,53.05719330087794,0.749,3,8
19,alpha_2_idx_2,2.0,50.004489217228134,0.706,3,8
20,alpha_2_idx_3,2.0,53.082571445060275,0.749,3,8
21,alpha_5_idx_1,5.0,56.538936258449844,0.798,4,8
22,alpha_5_idx_2,5.0,57.20052434153364,0.807,4,9
23,alpha_5_idx_3,5.0,61.05803883658437,0.862,4,9
24,alpha_10_idx_1,10.0,60.089191997348784,0.848,4,9
25,alpha_10_idx_2,10.0,62.73944896772128,0.886,5,9
26,alpha_10_idx_3,10.0,58.518820211492105,0.826,4,9
27,alpha_100_idx_1,100.0,61.72316881353401,0.871,5,9
28,alpha_100_idx_2,100.0,64.89580510061467,0.916,5,10
29,alpha_100_idx_3,100.0,63.447188751295606,0.895,5,9
30,alpha_inf_idx_1,inf,70.852,1.0,5,10
31,alpha_inf_idx_2,inf,70.852,1.0,5,10
32,alpha_inf_idx_3,inf,70.852,1.0,5,10
