,subsample,alpha,vs,normalized_vs,quintile
0,alpha_0_01_idx_1,0.01,1.0140631887439433,0.343,1
1,alpha_0_01_idx_2,0.01,1.0145025330244912,0.343,1
2,alpha_0_01_idx_3,0.01,1.014507782659271,0.343,1
3,alpha_0_1_idx_1,0.1,1.0145077826593938,0.343,1
4,alpha_0_1_idx_2,0.1,1.014507782659271,0.343,1
5,alpha_0_1_idx_3,0.1,2.0169072411232567,0.682,2
6,alpha_0_5_idx_1,0.5,2.553853024987127,0.863,3
7,alpha_0_5_idx_2,0.5,2.672170892986575,0.903,3
8,alpha_0_5_idx_3,0.5,2.7486030311284426,0.929,3
9,alpha_1_idx_1,1.0,2.644013194874083,0.894,3
10,alpha_1_idx_2,1.0,2.9454122302810606,0.995,4
11,alpha_1_idx_3,1.0,2.167505556616602,0.733,2
12,alpha_1_5_idx_1,1.5,2.361686305985363,0.798,2
13,alpha_1_5_idx_2,1.5,2.4661829190303113,0.833,3
14,alpha_1_5_idx_3,1.5,2.274675908134373,0.769,2
15,alpha_2_idx_1,2.0,2.383922048191626,0.806,2
16,alpha_2_idx_2,2.0,2.161271987287857,0.73,2
17,alpha_2_idx_3,2.0,1.8178265852985829,0.614,1
18,alpha_5_idx_1,5.0,2.650587818333891,0.896,3
19,alpha_5_idx_2,5.0,2.861856716093967,0.967,4
20,alpha_5_idx_3,5.0,2.7777282773295715,0.939,4
21,alpha_10_idx_1,10.0,2.873297658374838,0.971,4
22,alpha_10_idx_2,10.0,2.8587951045503677,0.966,4
23,alpha_10_idx_3,10.0,2.948732999407977,0.997,5
24,alpha_100_idx_1,100.0,2.926408400567871,0.989,4
25,alpha_100_idx_2,100.0,2.9483372200201825,0.996,5
26,alpha_100_idx_3,100.0,2.9510594281688163,0.997,5
27,alpha_inf_idx_1,inf,2.959,1.0,5
28,alpha_inf_idx_2,inf,2.959,1.0,5
29,alpha_inf_idx_3,inf,2.959,1.0,5
